,Tweet,User,retweet_counts,Like_count,Verfication
1726,"https://t.co/rFUn8mJRhf

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

#Lockdown #Without #Plan
#Modi #Made #Disaster #FAILED #POOR #PEOPLE",28278458,2,4311,False
1727,"https://t.co/rFUn8mJRhf

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

NEWS - TIMES - S.N.S. - JIGYASU - LOCKDOWN - WITHOUT - A - PLAN - 29TH MARCH 2020",28278458,1,4311,False
1728,"https://t.co/Z4W0mYg34Z

https://t.co/rFUn8mJRhf

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

NEWS - TIMES - S.N.S. - JIGYASU - LOCKDOWN - WITHOUT - A - PLAN - 29TH MARCH 2020",28278458,0,4311,False
1729,"No one will talk about this. This is how so-called farmers using the sword to attack our Jawans 

#FarmersProtest #SinghuBorder https://t.co/7IoM6WAfdv",1479352976,408,9729,False
1730,Will the every protest be silenced just like this? #FarmersProtest,1334497510379847681,0,1720,False
1731,"#FarmersProtest | Clashes break out at farmers' protest site, stones pelted, tents damaged

(HT Photos)

Track Updates: https://t.co/mpNpbTZt1R https://t.co/3n5SWrxxax",36327407,6,2944,True
1732,"#मोदी_कायर_है 
#FarmersProtest 
#FarmerTikaitVsModiDakait 
To stop the real news https://t.co/4RQpT0736v",134043501,14,3421,False
1733,"Dear Minister,
Need of the moment is to meet the farmers too. It could well be the ice breaker. Bring in empathy and an element of listening. Not just with the leaders of the movement but the farmers themselves. They are Indian Citizens not the enemy! #FarmersProtest https://t.co/ZrjlvbcyM7",3559780094,1,18647,True
1734,"Two other key border points -- Tikri and the Delhi-Uttar Pradesh border at Ghazipur - have also been placed under heavy security. 

#singhuborder #violence #farmersprotest",2264849412,0,2493,True
1735,Unitedly all the opposition leaders should demand #ModiMustResign parallel to #farmersProtest https://t.co/0lMOM8ZJLG,1218808627600879616,2,23729,False
1736,"Delhi Riots 2020 script being played again in 2021. Police giving a free hand to the mob to attack peaceful protestors. Shame! 

#FarmersProtest #Tractor2Twitter https://t.co/7UCh2yQQnW",83558469,1,68897,False
1737,"Chronology ‘Mask Attack’
At #FarmersProtest     At #JNU https://t.co/FO73Yv2Xq9",291518338,0,13887,False
1738,"Group of people intrude farmers' protest site and dismantle farmer tents... 

#FarmersProtest #TeamKisan #FarmersDemandJustice #StandWithFarmers #BoycottAdaniAmbani #FarmersProtests #GodiMedia https://t.co/zzeVgyHELk",77355435,0,221,False
1739,"@BioDhumal A whole new infrastructure is required which is not necessary with #Biodiesel + #Farmers don’t stand to benefit from #CNG - they do however, stand to gain from wider adoption of #Biodiesel #FarmersProtest #JaiHind",102385392,0,981,False
1740,#FarmersProtest: Alipur SHO injured in the scuffle at #Singhuborder.,633485882,0,93,True
1741,Any updates on the #SinghuBorder? Is everyone okay? #farmersrprotest #FarmersProtest why have the Police let the BJP goons enter? #RakeshTikaitVSModiDakait,538638801,2,13072,False
1742,This is the last trick of BJP. Police will use this excuse to attack #FarmersProtest now. It’s a govt play and police allowed it to happen. https://t.co/m3f8sIAgq9,1264496913694420993,0,1096,False
1743,".#FARMERSPROTEST 
OLD TACTICS
NOTHING NEW
FFIRST SEND SOME PEOPLE 
TO OPPOSE PROTESTERS
THEN 
TAKING BENIFIT OF 
A CONTROVERSIAL SITUATION 
POLICE WILL 
LAATHI CHARGE AND 
FIRE TEAR GAS SHELLS
TO SEND BACK PROTESTERS",2159217230,1,239,False
1744,"@ANI &amp; all these days, so called ""famers"" called the #FarmersProtest as non-political! All of them r getting exposed now. It was another nefarious design to destroy India but Indians have given a befitting reply till now. Real farmers cannot destroy India, they produce food for India.",1266770992564666373,2,1557,False
1745,"@ndtv It's not group of people but Goons &amp; Thugs of BJP/RSS.

Tadipar along with Delhi police have  hit the desperate mode to target peaceful farmers protest.

Sold out Indian MODIA is the biggest of all anti nationals. 
#IamWithFarmers 
#IndiaVsPMModi 

https://t.co/wWjg2ryzqN",135098069,1,43863,False
1746,"29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

https://t.co/Vsqe3sp2V1

https://t.co/9suP570rBh",28278458,1,4311,False
1747,"Hello India, 
Govt sponsored goons creating disturbance at Singhu border. Attempt to disturb kisan morcha. Utterly shameful. Govt stooping to a new low every minute. #IStandWithFarmers #FarmersProtest",1350069576587857921,3,137,False
1748,"Farmers must be extremely cautious...!!

They up against the most venomous communal, anti-national creatures on earth...!
#IamWithFarmers https://t.co/tPKBd2faAW",2288490336,2,37595,False
1749,"LIVE | Delhi Police on Friday, 29 January baton-charged protesters and used tear gas shells to control the situation at #Singhu border after protesting farmers clashed with the police. 

Follow for updates on #farmersprotest: https://t.co/QH3DEMEMLa",2982269822,7,247,True
1750,"#FarmersProtest what will Punjab framer's do if Bihari's ransack Amritsar because injustice has been done to them! 
What if ppl of AP ransack Ludhiana or Chandigarh because they didn't get a special status that was promised by the UPA govt.",797481488858173440,0,822,False
1751,#i_support_rakesh_tikait_challenge #FarmerTikaitVsModiDakait #ModiYouCantFailFarmers #FarmersProtest @rakeshtakait we are with you .. https://t.co/Pc9uU4zGwz,793327408845729792,4,46,False
1752,"https://t.co/YinUyUNjXa

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

#FarmersProstests

#HappyRepublicDay2021

#गणतंत्र_दिवस

#JaiHind
#26January

#HistoricTractorMarch",28278458,1,4311,False
1753,"Many Many Happy Returns of The Day, Happy Birthday Dear @shrutihaasan Ji,May Shri Sai Babaji Bless You All The Best 🎉🎂🎊Please share your Birthday with #FarmersProtest today. https://t.co/rOx0lgAIcl",862636972120064000,0,67667,False
1754,"Only AAP MP’s raising the voice against draconian farm bills 
@SanjayAzadSln @BhagwantMann 🙏🏻
#FarmersProtest https://t.co/bv1e4EZ1Yr",726574447,11,16043,False
1755,"Media says ""Local people"" but they r Chamche and bhakts of BJP. Old trick to hide puppets behind crowd to break protests #FarmersProtest #KisanAandolan #SinghuBorder",4916519665,0,21196,False
1756,Delhi: Alipur SHO has been injured after a scuffle broke out at Singhu border where farmers are protesting against farm laws. @tvpunjab #farmersprotest,2312292547,1,425,False
1757,"#FarmersProtest | Stones thrown, tents vandalised by Sanghis at farmers' protest site #SinghuBorder.",982308130359984128,1,103185,False
1758,"may be same group comes in jnu &amp; shaheen bagh to finish protest as paid members? 
#BycottAnnahazare #RakeshTikait #gazipurborder #FarmerTikaitVsModiDakait #GodiMediaHataoDeshBachao
#FarmersProtest #KisanAandolan #FarmersProstests @INCIndia @RahulGandhi @priyankagandhi @nsui @IYC https://t.co/J9Od5IkhDz",1260203348076007424,2,14648,False
1759,"JUST A REMINDER

Today is beating retreat ceremony at Rajpath

#FarmersProtest #BeatingRetreat",232809402,2,45654,False
1760,"#AndolanVsAndolan: #SinghuBorder और #TikriBorder से न्यूज़ नेशन की LIVE Reporting

#NewsNation| #FarmersProtest | @anuragdixit2005 
 
website: https://t.co/iu10vmGWMi

LIVE TV: https://t.co/nVNNK1jdgY

YouTube LIVE: https://t.co/7xgXqlieD9 https://t.co/spUln764zF",1039015705,3,1862,True
1761,"#Delhi Police baton charges and uses tear gas shells to control the situation at Singhu border

#FarmersProtest #FarmLaws #TV9News https://t.co/BFoAHfjZZY",346406417,0,24,True
1762,The police have let them enter #farmersrprotest #FarmersProtest #RakeshTikaitVSModiDakait https://t.co/21694nW9fI,538638801,1,13072,False
1763,"#FarmersProtest | Stones thrown, tents vandalised by people at farmers' protest site #SinghuBorder 
#FarmerTikaitVsModiDakait https://t.co/LYJB6uRC1I",964385492065112065,0,13,False
1764,"Reality of #FarmersProtest!

#SinghuBorder 
#ghazipurborder https://t.co/w0StJTtLnn",973375968273313792,0,8370,False
1765,"India Supports Anndatas.. Our Farmers Fight For Their Basic Rights

#IndiaVsPMModi #FarmersProtest https://t.co/REq85ZFt3l",140881245,3,409,False
1766,"Listen carefully, the German chapter of the babar khalsa, isi funding, uk, Italy and much more how they funded the riots.. violations, ploting .. do share for awareness. #farmersprotest #RepublicDayIndia #KhalistaniBreakingRules https://t.co/QAjP0VRhNI",402524110,17,969,False
1767,Same BJP game at Play here people they like can do anything. These are locals ok we are fools #FarmersProtest https://t.co/3kpnBTzCSi,1264496913694420993,0,1096,False
1768,"And The Beard Has Elongated By A Few Inches more watching India dissipate.
#FarmersProtest https://t.co/2GRNH5gj1p",2390936698,1,11301,False
1769,"EGI demands withdrawal of FIRs against Rajdeep Sardesai, other Journalists; condemns UP Police

https://t.co/x8dJ32lW5E 

#EditorsGuildOfIndia #EGI #ShashiTharoor #Congress #IndiaToday #RajdeepSardesai #FarmersProtest #RepublicDay2021 #NationNext",4079360000,0,13,False
1770,"Stones Thrown, Tents Vandalised By People At Farmers' Protest Site

If they are locals, check their Aadhar card, if they are outsiders on whose order did they started stone pelting???

#ModiMadeDisaster #BJPLies #BJPfails 
#FarmersProtests #KissanAndolan #FarmersProtest",18668110,0,30066,False
1771,"@srivatsayb Yes.... they are neither Locals nor Residents... But #RSSTerrorists. 
#IamWithFarmers 
#IndiaWithFarmers 
https://t.co/fao0wsiut1",717534632351109121,0,44,False
1772,"Police fire tear gas shells at protesters to control the situation at #Singhuborder
All the updates on #FarmersProtest: https://t.co/RS4HVrlmq1 https://t.co/rRI8ncOa8U",19897138,10,4439,True
1773,Lately my heart has been in India and my mind has been everywhere! #FarmersProtest,1239683945987358720,1,1762,False
1774,"It is interesting how peaceful social movements: #AntiCAA &amp; #FarmersProtest suddenly turn violent in the background of State Events like the visit of the Former U.S President &amp; R-Day respectively. 

Thus leading to the movements being discredited in the mainstream discourse.",1186915830061252609,0,679,False
1775,After 26th jan nobody supports aatankdata under the name of kissan #FarmersProtest,1296130433172742144,0,40,False
1776,"taanashahi starts their films,
climax by farmers sure will end all this film.
#BycottAnnahazare #RakeshTikait #gazipurborder #FarmerTikaitVsModiDakait #GodiMediaHataoDeshBachao
#FarmersProtest #KisanAandolan #FarmersProstests @INCIndia @RahulGandhi @priyankagandhi @nsui @IYC https://t.co/pLiDmgY1rm",1260203348076007424,2,14648,False
1777,"LIVE UPDATE: Police and locals have begun throwing stones and firing tear gas at protestors at Singhu Border.

#savingpunjab #farmersprotest",1106672369173712896,9,242,False
1778,Shame on BJP! How low can you stoop! #FarmerTikaitVsModiDakait #राकेश_टिकैत_किसानों_की_आवाज_है #farmersprotest #FarmBills2020 #farmer https://t.co/tSi7YiCc8S,1333180516665872384,0,853,False
1779,"#AndolanVsAndolan: #SinghuBorder से न्यूज़ नेशन की LIVE Reporting

#NewsNation| #FarmersProtest | @anuragdixit2005 
 
website: https://t.co/iu10vmGWMi

LIVE TV: https://t.co/nVNNK1jdgY

YouTube LIVE: https://t.co/7xgXqlieD9 https://t.co/J0gkoKN5O1",1039015705,4,1862,True
1780,"@HansrajMeena ""40 paise paid IT cell of BJP"" Vs ""India""
🇮🇳❤🇮🇳
Long live India... long live our democracy 🙏
#मोदी_कायर_है
#IamWithFarmers 
#FarmerTikaitVsModiDakait https://t.co/RNo7FCTAqA",391503789,1,18139,False
1781,"BUT WHY #MODI GOVT PASSED #FARMERSBILL2020/FARM LAWS ABOLISHING #KRISHI BAZAR COMMITTEE #MSP WITHOUT MINIMUM PRICE GUARANTEE WITHOUT DISCUSSING WITH STATES &amp; FARMERS ,TAKING COVID_19 CRISIS SITUATION  CITIZEN, LINGERING #FARMERSPROTEST BY HOOK OR BY CROOK FOLLOWING DELAY TACTICS https://t.co/rjnWxauB8b",1097027869144805376,1,15606,False
1782,"BJP workers stone pelted on farmers at singhu border.

They took lathies from hands of police and beat the farmers

Then police also beated farmers

#SinghuBorder #FarmersProtest https://t.co/zSswcuPWwz",2219826386,2,5464,False
